# Constructed from biom file
#OTU ID	baseline_1	baseline_2	baseline_3	baseline_4	canola_1103_f23	canola_1103_s23	canola_112_f23	canola_112_s23	canola_603_f23	canola_603_s23	canola_707_f23	canola_707_s23	fallow_101_f23	fallow_101_s23	fallow_1112_f23	fallow_1112_s23	fallow_607_f23	fallow_607_s23	fallow_709_f23	fallow_709_s23
9d3014687cc314a25421c364f680a4ff	0.0	0.0	0.0	0.0	676.0	0.0	293.0	0.0	781.0	0.0	602.0	1141.0	430.0	0.0	415.0	836.0	437.0	77.0	1996.0	55.0
453cf07d3e96e304f23fbde7b355fe70	184.0	195.0	1271.0	332.0	0.0	60.0	0.0	1026.0	14.0	141.0	0.0	134.0	0.0	238.0	0.0	362.0	25.0	3188.0	0.0	332.0
374b724806294b861c4ed5cfb74e2f31	256.0	77.0	439.0	231.0	281.0	0.0	0.0	1782.0	0.0	680.0	62.0	1879.0	14.0	105.0	171.0	0.0	14.0	215.0	38.0	1077.0
d6efd2da2728fd74ded268122ee05036	75.0	85.0	98.0	83.0	103.0	0.0	59.0	1928.0	0.0	0.0	599.0	594.0	0.0	1508.0	225.0	149.0	168.0	116.0	0.0	1347.0
1fa19a198819b145e52bb266e4e7840b	647.0	76.0	1412.0	330.0	124.0	0.0	18.0	839.0	0.0	0.0	32.0	349.0	0.0	817.0	22.0	1931.0	0.0	341.0	43.0	60.0
a26da340960942d894b28559f2430838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4342.0	0.0	0.0	31.0	30.0	0.0	2431.0	0.0	0.0	0.0	0.0	0.0	0.0
8df2b2e6c1cb64bd18b81d5bae7f0898	716.0	733.0	2439.0	1860.0	0.0	0.0	0.0	534.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	88.0
7396a40753488c53d367a1682ccca0a3	411.0	90.0	125.0	253.0	0.0	345.0	0.0	2916.0	0.0	0.0	0.0	97.0	0.0	449.0	0.0	42.0	0.0	1596.0	0.0	50.0
4fd3b482f9c69c0ed6977496a8ab9aff	696.0	561.0	398.0	554.0	163.0	451.0	84.0	455.0	159.0	387.0	141.0	356.0	66.0	327.0	154.0	478.0	134.0	256.0	108.0	276.0
1c0a3725f25027e98ff6aea763fbb4d2	0.0	0.0	0.0	0.0	0.0	0.0	235.0	276.0	155.0	1188.0	94.0	1755.0	279.0	34.0	52.0	61.0	38.0	1341.0	0.0	537.0
f30d9ea6d84d5a12d5edcce200accc4e	696.0	472.0	490.0	547.0	145.0	429.0	111.0	340.0	144.0	314.0	166.0	335.0	81.0	257.0	203.0	373.0	145.0	344.0	101.0	298.0
04dde42aa41937090ea9134ac333ff89	2121.0	0.0	0.0	0.0	608.0	1255.0	0.0	152.0	0.0	0.0	0.0	0.0	492.0	934.0	0.0	120.0	266.0	0.0	0.0	37.0
0f18144d308ada95632ab5193d92073f	315.0	69.0	0.0	1199.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	3884.0
d42f71ee4f654658c98c1e7b7fdc1750	0.0	0.0	0.0	0.0	380.0	30.0	180.0	0.0	1339.0	0.0	1052.0	238.0	0.0	1425.0	0.0	0.0	76.0	0.0	0.0	707.0
b3fe77bd4d27e30779be9b5fbdcd84bd	0.0	0.0	0.0	0.0	2469.0	0.0	22.0	0.0	0.0	973.0	646.0	526.0	0.0	0.0	0.0	0.0	36.0	670.0	0.0	0.0
